10180                   Abilene, TX Metropolitan Statistical Area
10380                   Aguadilla-Isabela-San Sebastián, PR Metropolitan Statistical Area
10420                   Akron, OH Metropolitan Statistical Area
10500                   Albany, GA Metropolitan Statistical Area
10580                   Albany-Schenectady-Troy, NY Metropolitan Statistical Area
10740                   Albuquerque, NM Metropolitan Statistical Area
10780                   Alexandria, LA Metropolitan Statistical Area
10900                   Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area
11020                   Altoona, PA Metropolitan Statistical Area
11100                   Amarillo, TX Metropolitan Statistical Area
11180                   Ames, IA Metropolitan Statistical Area
11260                   Anchorage, AK Metropolitan Statistical Area
11300                   Anderson, IN Metropolitan Statistical Area
11340                   Anderson, SC Metropolitan Statistical Area
11460                   Ann Arbor, MI Metropolitan Statistical Area
11500                   Anniston-Oxford, AL Metropolitan Statistical Area
11540                   Appleton, WI Metropolitan Statistical Area
11700                   Asheville, NC Metropolitan Statistical Area
12020                   Athens-Clarke County, GA Metropolitan Statistical Area
12060                   Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area
12100                   Atlantic City, NJ Metropolitan Statistical Area
12220                   Auburn-Opelika, AL Metropolitan Statistical Area
12260                   Augusta-Richmond County, GA-SC Metropolitan Statistical Area
12420                   Austin-Round Rock, TX Metropolitan Statistical Area
12540                   Bakersfield, CA Metropolitan Statistical Area
12580                   Baltimore-Towson, MD Metropolitan Statistical Area
12620                   Bangor, ME Metropolitan Statistical Area
12700                   Barnstable Town, MA Metropolitan Statistical Area
12940                   Baton Rouge, LA Metropolitan Statistical Area
12980                   Battle Creek, MI Metropolitan Statistical Area
13020                   Bay City, MI Metropolitan Statistical Area
13140                   Beaumont-Port Arthur, TX Metropolitan Statistical Area
13380                   Bellingham, WA Metropolitan Statistical Area
13460                   Bend, OR Metropolitan Statistical Area
13740                   Billings, MT Metropolitan Statistical Area
13780                   Binghamton, NY Metropolitan Statistical Area
13820                   Birmingham-Hoover, AL Metropolitan Statistical Area
13900                   Bismarck, ND Metropolitan Statistical Area
13980                   Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area
14020                   Bloomington, IN Metropolitan Statistical Area
14060                   Bloomington-Normal, IL Metropolitan Statistical Area
14260                   Boise City-Nampa, ID Metropolitan Statistical Area
14460                   Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area
14500                   Boulder, CO Metropolitan Statistical Area
14540                   Bowling Green, KY Metropolitan Statistical Area
14740                   Bremerton-Silverdale, WA Metropolitan Statistical Area
14860                   Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area
15180                   Brownsville-Harlingen, TX Metropolitan Statistical Area
15260                   Brunswick, GA Metropolitan Statistical Area
15380                   Buffalo-Niagara Falls, NY Metropolitan Statistical Area
15500                   Burlington, NC Metropolitan Statistical Area
15540                   Burlington-South Burlington, VT Metropolitan Statistical Area
15940                   Canton-Massillon, OH Metropolitan Statistical Area
15980                   Cape Coral-Fort Myers, FL Metropolitan Statistical Area
16180                   Carson City, NV Metropolitan Statistical Area
16220                   Casper, WY Metropolitan Statistical Area
16300                   Cedar Rapids, IA Metropolitan Statistical Area
16580                   Champaign-Urbana, IL Metropolitan Statistical Area
16620                   Charleston, WV Metropolitan Statistical Area
16700                   Charleston-North Charleston, SC Metropolitan Statistical Area
16740                   Charlotte-Gastonia-Concord, NC-SC Metropolitan Statistical Area
16820                   Charlottesville, VA Metropolitan Statistical Area
16860                   Chattanooga, TN-GA Metropolitan Statistical Area
16940                   Cheyenne, WY Metropolitan Statistical Area
