,MSA,Code,County_State
0,"4,""10180",48059,"Callahan County, TX"
1,"5,""10180",48253,"Jones County, TX"
2,"6,""10180",48441,"Taylor County, TX"
3,"8,""10380",72003,"Aguada Municipio, PR"
4,"9,""10380",72005,"Aguadilla Municipio, PR"
5,"10,""10380",72011,"Añasco Municipio, PR"
6,"11,""10380",72071,"Isabela Municipio, PR"
7,"12,""10380",72081,"Lares Municipio, PR"
8,"13,""10380",72099,"Moca Municipio, PR"
9,"14,""10380",72117,"Rincón Municipio, PR"
10,"17,""10420",39133,"Portage County, OH"
11,"18,""10420",39153,"Summit County, OH"
12,"20,""10500",13007,"Baker County, GA"
13,"21,""10500",13095,"Dougherty County, GA"
14,"22,""10500",13177,"Lee County, GA"
15,"23,""10500",13273,"Terrell County, GA"
16,"24,""10500",13321,"Worth County, GA"
17,"26,""10580",36001,"Albany County, NY"
18,"27,""10580",36083,"Rensselaer County, NY"
19,"28,""10580",36091,"Saratoga County, NY"
20,"29,""10580",36093,"Schenectady County, NY"
21,"30,""10580",36095,"Schoharie County, NY"
22,"32,""10740",35001,"Bernalillo County, NM"
23,"33,""10740",35043,"Sandoval County, NM"
24,"34,""10740",35057,"Torrance County, NM"
25,"35,""10740",35061,"Valencia County, NM"
26,"37,""10780",22043,"Grant Parish, LA"
27,"38,""10780",22079,"Rapides Parish, LA"
28,"40,""10900",34041,"Warren County, NJ"
29,"41,""10900",42025,"Carbon County, PA"
30,"42,""10900",42077,"Lehigh County, PA"
31,"43,""10900",42095,"Northampton County, PA"
32,"45,""11020",42013,"Blair County, PA"
33,"47,""11100",48011,"Armstrong County, TX"
34,"48,""11100",48065,"Carson County, TX"
35,"49,""11100",48375,"Potter County, TX"
36,"50,""11100",48381,"Randall County, TX"
37,"52,""11180",19169,"Story County, IA"
38,"54,""11260",02020,"Anchorage Municipality, AK"
39,"55,""11260",02170,"Matanuska-Susitna Borough, AK"
40,"57,""11300",18095,"Madison County, IN"
41,"59,""11340",45007,"Anderson County, SC"
42,"61,""11460",26161,"Washtenaw County, MI"
43,"63,""11500",01015,"Calhoun County, AL"
44,"65,""11540",55015,"Calumet County, WI"
45,"66,""11540",55087,"Outagamie County, WI"
46,"68,""11700",37021,"Buncombe County, NC"
47,"69,""11700",37087,"Haywood County, NC"
48,"70,""11700",37089,"Henderson County, NC"
49,"71,""11700",37115,"Madison County, NC"
50,"73,""12020",13059,"Clarke County, GA"
51,"74,""12020",13195,"Madison County, GA"
52,"75,""12020",13219,"Oconee County, GA"
53,"76,""12020",13221,"Oglethorpe County, GA"
54,"78,""12060",13013,"Barrow County, GA"
55,"79,""12060",13015,"Bartow County, GA"
56,"80,""12060",13035,"Butts County, GA"
57,"81,""12060",13045,"Carroll County, GA"
58,"82,""12060",13057,"Cherokee County, GA"
59,"83,""12060",13063,"Clayton County, GA"
60,"84,""12060",13067,"Cobb County, GA"
61,"85,""12060",13077,"Coweta County, GA"
62,"86,""12060",13085,"Dawson County, GA"
63,"87,""12060",13089,"DeKalb County, GA"
64,"88,""12060",13097,"Douglas County, GA"
65,"89,""12060",13113,"Fayette County, GA"
66,"90,""12060",13117,"Forsyth County, GA"
67,"91,""12060",13121,"Fulton County, GA"
68,"92,""12060",13135,"Gwinnett County, GA"
69,"93,""12060",13143,"Haralson County, GA"
70,"94,""12060",13149,"Heard County, GA"
71,"95,""12060",13151,"Henry County, GA"
72,"96,""12060",13159,"Jasper County, GA"
73,"97,""12060",13171,"Lamar County, GA"
74,"98,""12060",13199,"Meriwether County, GA"
75,"99,""12060",13217,"Newton County, GA"
76,"100,""12060",13223,"Paulding County, GA"
77,"101,""12060",13227,"Pickens County, GA"
78,"102,""12060",13231,"Pike County, GA"
79,"103,""12060",13247,"Rockdale County, GA"
80,"104,""12060",13255,"Spalding County, GA"
81,"105,""12060",13297,"Walton County, GA"
82,"107,""12100",34001,"Atlantic County, NJ"
83,"109,""12220",01081,"Lee County, AL"
84,"111,""12260",13033,"Burke County, GA"
85,"112,""12260",13073,"Columbia County, GA"
86,"113,""12260",13189,"McDuffie County, GA"
87,"114,""12260",13245,"Richmond County, GA"
88,"115,""12260",45003,"Aiken County, SC"
89,"116,""12260",45037,"Edgefield County, SC"
90,"118,""12420",48021,"Bastrop County, TX"
91,"119,""12420",48055,"Caldwell County, TX"
92,"120,""12420",48209,"Hays County, TX"
93,"121,""12420",48453,"Travis County, TX"
94,"122,""12420",48491,"Williamson County, TX"
95,"124,""12540",06029,"Kern County, CA"
96,"127,""12580",24005,"Baltimore County, MD"
97,"128,""12580",24013,"Carroll County, MD"
98,"129,""12580",24025,"Harford County, MD"
99,"130,""12580",24027,"Howard County, MD"
100,"132,""12580",24510,"Baltimore city, MD"
101,"134,""12620",23019,"Penobscot County, ME"
102,"136,""12700",25001,"Barnstable County, MA"
103,"138,""12940",22005,"Ascension Parish, LA"
104,"141,""12940",22047,"Iberville Parish, LA"
105,"142,""12940",22063,"Livingston Parish, LA"
106,"148,""12980",26025,"Calhoun County, MI"
107,"150,""13020",26017,"Bay County, MI"
108,"152,""13140",48199,"Hardin County, TX"
109,"153,""13140",48245,"Jefferson County, TX"
110,"154,""13140",48361,"Orange County, TX"
111,"156,""13380",53073,"Whatcom County, WA"
112,"158,""13460",41017,"Deschutes County, OR"
113,"160,""13740",30009,"Carbon County, MT"
114,"161,""13740",30111,"Yellowstone County, MT"
115,"163,""13780",36007,"Broome County, NY"
116,"164,""13780",36107,"Tioga County, NY"
117,"166,""13820",01007,"Bibb County, AL"
118,"167,""13820",01009,"Blount County, AL"
119,"168,""13820",01021,"Chilton County, AL"
120,"169,""13820",01073,"Jefferson County, AL"
121,"171,""13820",01117,"Shelby County, AL"
122,"172,""13820",01127,"Walker County, AL"
123,"174,""13900",38015,"Burleigh County, ND"
124,"175,""13900",38059,"Morton County, ND"
125,"177,""13980",51071,"Giles County, VA"
126,"178,""13980",51121,"Montgomery County, VA"
127,"179,""13980",51155,"Pulaski County, VA"
128,"180,""13980",51750,"Radford city, VA"
129,"182,""14020",18055,"Greene County, IN"
130,"183,""14020",18105,"Monroe County, IN"
131,"184,""14020",18119,"Owen County, IN"
132,"186,""14060",17113,"McLean County, IL"
133,"188,""14260",16001,"Ada County, ID"
