,MSA,MSA_Name
0,1018,"                  Abilene, TX Metropolitan Statistical Area
"
1,1038,"                  Aguadilla-Isabela-San Sebastián, PR Metropolitan Statistical Area
"
2,1042,"                  Akron, OH Metropolitan Statistical Area
"
3,1050,"                  Albany, GA Metropolitan Statistical Area
"
4,1058,"                  Albany-Schenectady-Troy, NY Metropolitan Statistical Area
"
5,1074,"                  Albuquerque, NM Metropolitan Statistical Area
"
6,1078,"                  Alexandria, LA Metropolitan Statistical Area
"
7,1090,"                  Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area
"
8,1102,"                  Altoona, PA Metropolitan Statistical Area
"
9,1110,"                  Amarillo, TX Metropolitan Statistical Area
"
10,1118,"                  Ames, IA Metropolitan Statistical Area
"
11,1126,"                  Anchorage, AK Metropolitan Statistical Area
"
12,1130,"                  Anderson, IN Metropolitan Statistical Area
"
13,1134,"                  Anderson, SC Metropolitan Statistical Area
"
14,1146,"                  Ann Arbor, MI Metropolitan Statistical Area
"
15,1150,"                  Anniston-Oxford, AL Metropolitan Statistical Area
"
16,1154,"                  Appleton, WI Metropolitan Statistical Area
"
17,1170,"                  Asheville, NC Metropolitan Statistical Area
"
18,1202,"                  Athens-Clarke County, GA Metropolitan Statistical Area
"
19,1206,"                  Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area
"
20,1210,"                  Atlantic City, NJ Metropolitan Statistical Area
"
21,1222,"                  Auburn-Opelika, AL Metropolitan Statistical Area
"
22,1226,"                  Augusta-Richmond County, GA-SC Metropolitan Statistical Area
"
23,1242,"                  Austin-Round Rock, TX Metropolitan Statistical Area
"
24,1254,"                  Bakersfield, CA Metropolitan Statistical Area
"
25,1258,"                  Baltimore-Towson, MD Metropolitan Statistical Area
"
26,1262,"                  Bangor, ME Metropolitan Statistical Area
"
27,1270,"                  Barnstable Town, MA Metropolitan Statistical Area
"
28,1294,"                  Baton Rouge, LA Metropolitan Statistical Area
"
29,1298,"                  Battle Creek, MI Metropolitan Statistical Area
"
30,1302,"                  Bay City, MI Metropolitan Statistical Area
"
31,1314,"                  Beaumont-Port Arthur, TX Metropolitan Statistical Area
"
32,1338,"                  Bellingham, WA Metropolitan Statistical Area
"
33,1346,"                  Bend, OR Metropolitan Statistical Area
"
34,1374,"                  Billings, MT Metropolitan Statistical Area
"
35,1378,"                  Binghamton, NY Metropolitan Statistical Area
"
36,1382,"                  Birmingham-Hoover, AL Metropolitan Statistical Area
"
37,1390,"                  Bismarck, ND Metropolitan Statistical Area
"
38,1398,"                  Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area
"
39,1402,"                  Bloomington, IN Metropolitan Statistical Area
"
40,1406,"                  Bloomington-Normal, IL Metropolitan Statistical Area
"
41,1426,"                  Boise City-Nampa, ID Metropolitan Statistical Area
"
42,1446,"                  Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area
"
43,1450,"                  Boulder, CO Metropolitan Statistical Area
"
44,1454,"                  Bowling Green, KY Metropolitan Statistical Area
"
45,1474,"                  Bremerton-Silverdale, WA Metropolitan Statistical Area
"
46,1486,"                  Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area
"
47,1518,"                  Brownsville-Harlingen, TX Metropolitan Statistical Area
"
48,1526,"                  Brunswick, GA Metropolitan Statistical Area
"
